"","From","Entry","Features","Glyco.features","Glyco"
"18","A2ARA8","A2ARA8","Alternative sequence (2); Binding site (18); Chain (3); Disulfide bond (9); Glycosylation (16); Motif (1); Repeat (7); Sequence conflict (1); Signal (1); Topological domain (2); Transmembrane (1)","16",TRUE
"19","A2ARI4","A2ARI4","Alternative sequence (1); Chain (1); Disulfide bond (6); Domain (1); Glycosylation (5); Modified residue (1); Mutagenesis (1); Region (1); Repeat (15); Sequence conflict (4); Signal (1); Topological domain (8); Transmembrane (7)","5",TRUE
"20","A2ARV4","A2ARV4","Binding site (12); Chain (1); Compositional bias (2); Disulfide bond (126); Domain (42); Glycosylation (43); Modified residue (6); Motif (7); Region (2); Repeat (36); Sequence conflict (1); Signal (1); Topological domain (2); Transmembrane (1)","43",TRUE
"21","A2ASI5","A2ASI5","Alternative sequence (2); Chain (1); Compositional bias (6); Disulfide bond (4); Domain (1); Glycosylation (8); Intramembrane (4); Modified residue (4); Natural variant (1); Region (5); Repeat (4); Topological domain (29); Transmembrane (24)","8",TRUE
"22","A2ASQ1","A2ASQ1","Alternative sequence (3); Beta strand (13); Binding site (4); Chain (5); Compositional bias (2); Disulfide bond (48); Domain (19); Glycosylation (5); Helix (4); Modified residue (2); Natural variant (1); Region (2); Sequence conflict (1); Site (7); Topological domain (2); Transmembrane (1)","5",TRUE
"23","A2AVA0","A2AVA0","Alternative sequence (2); Chain (1); Disulfide bond (94); Domain (47); Glycosylation (1); Sequence conflict (3); Signal (1)","1",TRUE
"24","A2AVZ9","A2AVZ9","Alternative sequence (1); Chain (1); Compositional bias (2); Glycosylation (2); Region (1); Sequence conflict (2); Transmembrane (12)","2",TRUE
"25","A2AX52","A2AX52","Chain (1); Compositional bias (1); Domain (8); Glycosylation (3); Motif (2); Region (5); Sequence conflict (30); Signal (1)","3",TRUE
"26","A2RTF1","A2RTF1","Beta strand (78); Chain (1); Disulfide bond (7); Glycosylation (8); Helix (17); Sequence conflict (2); Topological domain (2); Transmembrane (1); Turn (7)","8",TRUE
"27","A4FUQ5","A4FUQ5","Chain (1); Disulfide bond (1); Glycosylation (3); Sequence conflict (4); Topological domain (8); Transmembrane (7)","3",TRUE
"28","A4QPC6","A4QPC6","Alternative sequence (2); Chain (1); Coiled coil (1); Disulfide bond (2); Domain (3); Glycosylation (2); Signal (1); Topological domain (2); Transmembrane (1)","2",TRUE
"29","A6H6E2","A6H6E2","Alternative sequence (1); Chain (1); Coiled coil (3); Compositional bias (1); Disulfide bond (3); Domain (2); Glycosylation (12); Region (2); Sequence conflict (1); Signal (1)","12",TRUE
"30","A6H8H5","A6H8H5","Chain (1); Compositional bias (2); Glycosylation (1); Intramembrane (2); Modified residue (1); Motif (1); Region (5); Sequence conflict (1); Topological domain (8); Transmembrane (6)","1",TRUE
"31","A6X935","A6X935","Alternative sequence (1); Chain (1); Coiled coil (1); Compositional bias (1); Disulfide bond (1); Domain (2); Glycosylation (5); Region (2); Sequence conflict (4); Signal (1)","5",TRUE
"32","A7TZE6","A7TZE6","Alternative sequence (6); Beta strand (9); Chain (1); Disulfide bond (1); Domain (2); Glycosylation (1); Helix (2); Natural variant (1); Sequence conflict (14); Signal (1); Topological domain (4); Transmembrane (3); Turn (2)","1",TRUE
"33","B0V2N1","B0V2N1","Active site (2); Alternative sequence (6); Beta strand (26); Binding site (3); Chain (1); Disulfide bond (3); Domain (13); Glycosylation (4); Helix (18); Mutagenesis (1); Region (3); Sequence conflict (9); Signal (1); Site (1); Topological domain (2); Transmembrane (1); Turn (7)","4",TRUE
"34","B1AS29","B1AS29","Binding site (4); Chain (1); Cross-link (1); Disulfide bond (1); Glycosylation (10); Modified residue (1); Signal (1); Topological domain (4); Transmembrane (3)","10",TRUE
"35","B1ATG9","B1ATG9","Chain (1); Compositional bias (2); Glycosylation (2); Region (2); Signal (1); Topological domain (2); Transmembrane (1)","2",TRUE
"36","B1AUH1","B1AUH1","Active site (2); Alternative sequence (1); Binding site (3); Chain (1); Disulfide bond (1); Domain (8); Glycosylation (3); Modified residue (4); Region (2); Sequence conflict (6); Signal (1); Topological domain (2); Transmembrane (1)","3",TRUE
"37","B1AWN6","B1AWN6","Chain (1); Compositional bias (6); Cross-link (1); Disulfide bond (7); Domain (1); Glycosylation (6); Intramembrane (4); Modified residue (24); Mutagenesis (1); Natural variant (1); Region (6); Repeat (4); Site (11); Transmembrane (24)","6",TRUE
"38","B2RPY5","B2RPY5","Alternative sequence (2); Chain (1); Disulfide bond (1); Glycosylation (3); Mutagenesis (7); Topological domain (8); Transmembrane (7)","3",TRUE
"39","B2RQR8","B2RQR8","Active site (2); Alternative sequence (1); Binding site (3); Chain (1); Disulfide bond (5); Domain (1); Glycosylation (9); Modified residue (1); Topological domain (2); Transmembrane (1)","9",TRUE
"40","B2RU80","B2RU80","Active site (1); Binding site (3); Chain (1); Domain (18); Glycosylation (23); Modified residue (1); Mutagenesis (2); Sequence conflict (5); Signal (1); Topological domain (2); Transmembrane (1)","23",TRUE
"41","B2RVY9","B2RVY9","Chain (1); Glycosylation (4); Region (1); Signal (1); Topological domain (4); Transmembrane (3)","4",TRUE
"42","B2RX12","B2RX12","Alternative sequence (2); Binding site (2); Chain (1); Domain (4); Glycosylation (2); Modified residue (2); Region (1); Sequence conflict (4); Topological domain (18); Transmembrane (17)","2",TRUE
"43","B2RXS4","B2RXS4","Beta strand (10); Chain (1); Disulfide bond (10); Domain (4); Glycosylation (8); Helix (25); Modified residue (3); Sequence conflict (1); Signal (1); Site (1); Topological domain (2); Transmembrane (1); Turn (8)","8",TRUE
"44","B2RXV4","B2RXV4","Alternative sequence (1); Chain (1); Glycosylation (1); Modified residue (1); Region (1); Topological domain (13); Transmembrane (12)","1",TRUE
"45","B5X0E4","B5X0E4","Alternative sequence (1); Binding site (2); Chain (1); Domain (4); Glycosylation (11); Sequence conflict (1); Transmembrane (9)","11",TRUE
"46","B6A8R8","B6A8R8","Chain (1); Disulfide bond (2); Domain (2); Glycosylation (2); Signal (1); Topological domain (2); Transmembrane (1)","2",TRUE
"47","B8JK39","B8JK39","Binding site (12); Chain (1); Disulfide bond (9); Glycosylation (4); Motif (1); Repeat (7); Sequence conflict (2); Signal (1); Site (1); Topological domain (2); Transmembrane (1)","4",TRUE
"48","B9EKR1","B9EKR1","Active site (1); Binding site (3); Chain (1); Compositional bias (9); Disulfide bond (2); Domain (4); Glycosylation (9); Modified residue (7); Region (7); Signal (1); Site (1); Topological domain (2); Transmembrane (1)","9",TRUE
"49","C6KI89","C6KI89","Beta strand (71); Chain (1); Disulfide bond (9); Glycosylation (7); Helix (21); Signal (1); Topological domain (2); Transmembrane (1); Turn (12)","7",TRUE
"50","D3YXG0","D3YXG0","Alternative sequence (1); Chain (1); Disulfide bond (76); Domain (59); Glycosylation (8); Signal (1)","8",TRUE
"51","D3Z1Q2","D3Z1Q2","Chain (1); Glycosylation (1); Modified residue (1); Region (1); Transmembrane (1)","1",TRUE
"52","D3Z291","D3Z291","Chain (1); Glycosylation (1); Mutagenesis (3); Region (1); Topological domain (5); Transmembrane (4)","1",TRUE
"53","D3Z2R5","D3Z2R5","Chain (1); Domain (1); Glycosylation (3); Non-standard residue (1); Region (1); Signal (1)","3",TRUE
"54","D3Z6P0","D3Z6P0","Active site (4); Alternative sequence (1); Chain (1); Disulfide bond (2); Domain (2); Glycosylation (3); Motif (1); Region (2); Signal (1); Site (5)","3",TRUE
"55","D7PDD4","D7PDD4","Chain (1); Glycosylation (2); Modified residue (1); Motif (2); Signal (1); Transmembrane (1)","2",TRUE
"56","E2JF22","E2JF22","Beta strand (23); Chain (1); Coiled coil (1); Compositional bias (6); Disulfide bond (1); Glycosylation (2); Helix (55); Modified residue (6); Region (5); Topological domain (1); Transmembrane (35); Turn (10)","2",TRUE
"57","E9PV24","E9PV24","Alternative sequence (2); Binding site (4); Chain (1); Coiled coil (1); Compositional bias (4); Disulfide bond (8); Domain (1); Glycosylation (1); Modified residue (3); Peptide (1); Region (2); Signal (1); Site (4)","1",TRUE
"58","E9PVD3","E9PVD3","Chain (1); Compositional bias (1); Domain (27); Glycosylation (2); Modified residue (1); Region (4); Signal (1); Topological domain (2); Transmembrane (1)","2",TRUE
"59","E9PX95","E9PX95","Binding site (2); Chain (1); Compositional bias (2); Domain (2); Glycosylation (1); Region (1); Sequence conflict (12); Transmembrane (14)","1",TRUE
"60","E9PXX9","E9PXX9","Chain (1); Glycosylation (3); Sequence conflict (2); Topological domain (14); Transmembrane (13)","3",TRUE
"61","E9PZ19","E9PZ19","Chain (1); Compositional bias (5); Disulfide bond (5); Domain (7); Glycosylation (3); Modified residue (6); Region (3); Signal (1); Topological domain (2); Transmembrane (1)","3",TRUE
"62","E9PZ36","E9PZ36","Chain (1); Compositional bias (1); Domain (15); Glycosylation (51); Mutagenesis (8); Region (4); Repeat (8); Signal (1); Site (1); Topological domain (2); Transmembrane (1)","51",TRUE
"63","E9Q0N2","E9Q0N2","Active site (1); Chain (1); Domain (7); Glycosylation (7); Modified residue (2); Mutagenesis (4); Sequence conflict (3); Signal (1); Topological domain (2); Transmembrane (1)","7",TRUE
"64","E9Q0S6","E9Q0S6","Chain (1); Compositional bias (12); Domain (4); Glycosylation (1); Modified residue (30); Region (7); Zinc finger (1)","1",TRUE
"65","E9Q414","E9Q414","Chain (2); Disulfide bond (7); Domain (1); Glycosylation (14); Modified residue (3); Region (9); Sequence conflict (5); Signal (1)","14",TRUE
"66","E9Q612","E9Q612","Active site (1); Binding site (3); Chain (1); Compositional bias (2); Domain (7); Glycosylation (9); Modified residue (2); Mutagenesis (1); Region (1); Sequence conflict (1); Signal (1); Topological domain (2); Transmembrane (1)","9",TRUE
"67","E9Q649","E9Q649","Chain (1); Disulfide bond (4); Glycosylation (3); Topological domain (2); Transmembrane (1)","3",TRUE
"68","E9Q7G0","E9Q7G0","Chain (1); Coiled coil (1); Compositional bias (8); Cross-link (4); Glycosylation (1); Modified residue (48); Motif (2); Region (16); Sequence conflict (1)","1",TRUE
"69","E9Q7X6","E9Q7X6","Alternative sequence (3); Chain (1); Compositional bias (9); Disulfide bond (6); Domain (2); Glycosylation (1); Modified residue (1); Region (6); Signal (1); Topological domain (2); Transmembrane (1)","1",TRUE
"70","E9Q7X7","E9Q7X7","Chain (1); Compositional bias (1); Disulfide bond (12); Domain (9); Glycosylation (3); Region (3); Signal (1); Topological domain (2); Transmembrane (1)","3",TRUE
"71","E9Q816","E9Q816","Binding site (1); Chain (1); Glycosylation (1); Signal (1)","1",TRUE
"72","E9Q876","E9Q876","Binding site (2); Chain (1); Compositional bias (1); Domain (2); Glycosylation (39); Mutagenesis (2); Region (3); Transmembrane (15)","39",TRUE
"73","E9Q8Q8","E9Q8Q8","Alternative sequence (5); Chain (1); Disulfide bond (1); Domain (1); Glycosylation (1); Signal (1); Topological domain (2); Transmembrane (1)","1",TRUE
"74","E9Q9F6","E9Q9F6","Alternative sequence (3); Beta strand (53); Chain (1); Disulfide bond (7); Glycosylation (5); Helix (10); Sequence conflict (1); Signal (1); Topological domain (2); Transmembrane (1); Turn (12)","5",TRUE
"75","E9Q9K5","E9Q9K5","Alternative sequence (7); Chain (1); Compositional bias (7); Disulfide bond (2); Glycosylation (2); Modified residue (1); Region (3); Sequence conflict (1); Topological domain (2); Transmembrane (1)","2",TRUE
"76","E9QA28","E9QA28","Chain (1); Disulfide bond (2); Domain (2); Glycosylation (2); Mutagenesis (1); Region (1); Sequence conflict (2); Signal (1)","2",TRUE
"77","F2YMG0","F2YMG0","Active site (3); Chain (1); Disulfide bond (4); Domain (1); Glycosylation (1); Region (3); Signal (1)","1",TRUE
"78","F6VAN0","F6VAN0","Chain (2); Compositional bias (3); Cross-link (2); Domain (1); Glycosylation (3); Region (7); Sequence conflict (3); Site (1); Topological domain (2); Transmembrane (1)","3",TRUE
"79","F7BWT7","F7BWT7","Alternative sequence (1); Chain (1); Glycosylation (3); Sequence conflict (2); Topological domain (5); Transmembrane (4)","3",TRUE
"80","F8VQN3","F8VQN3","Chain (1); Glycosylation (1); Sequence conflict (11); Topological domain (8); Transmembrane (7)","1",TRUE
"81","G3X939","G3X939","Chain (1); Glycosylation (1); Intramembrane (3); Modified residue (7); Region (2); Topological domain (14); Transmembrane (10)","1",TRUE
"82","G3XA59","G3XA59","Chain (1); Disulfide bond (2); Domain (2); Glycosylation (6); Region (1); Repeat (21); Signal (1); Topological domain (2); Transmembrane (1)","6",TRUE
"83","G5E8Q8","G5E8Q8","Chain (1); Disulfide bond (3); Domain (5); Glycosylation (7); Modified residue (3); Region (1); Signal (1); Site (3); Topological domain (8); Transmembrane (7)","7",TRUE
"84","J3KML8","J3KML8","Chain (1); Compositional bias (7); Glycosylation (1); Region (2); Signal (1); Topological domain (2); Transmembrane (1)","1",TRUE
"85","J3S6Y1","J3S6Y1","Alternative sequence (3); Chain (1); Domain (1); Glycosylation (1); Repeat (7); Sequence conflict (1); Signal (1)","1",TRUE
"86","O08523","O08523","Alternative sequence (1); Chain (1); Disulfide bond (15); Domain (10); Glycosylation (31); Lipidation (1); Propeptide (1); Sequence conflict (5); Signal (1)","31",TRUE
"87","O08530","O08530","Binding site (2); Chain (1); Compositional bias (1); Disulfide bond (2); Glycosylation (1); Initiator methionine (1); Lipidation (1); Modified residue (5); Region (1); Sequence conflict (3); Topological domain (8); Transmembrane (7)","1",TRUE
"88","O08532","O08532","Alternative sequence (3); Binding site (3); Chain (3); Disulfide bond (1); Domain (2); Glycosylation (8); Modified residue (1); Motif (1); Signal (1); Topological domain (2); Transmembrane (1)","8",TRUE
"89","O08537","O08537","Alternative sequence (6); Chain (1); DNA binding (1); Domain (1); Glycosylation (1); Modified residue (3); Mutagenesis (2); Region (2); Sequence conflict (7); Zinc finger (2)","1",TRUE
"90","O08538","O08538","Chain (1); Coiled coil (2); Disulfide bond (2); Domain (1); Glycosylation (5); Sequence conflict (1); Signal (1)","5",TRUE
"91","O08543","O08543","Alternative sequence (1); Beta strand (12); Chain (1); Disulfide bond (2); Domain (1); Glycosylation (2); Helix (2); Lipidation (1); Propeptide (1); Region (1); Signal (1); Turn (1)","2",TRUE
"92","O08545","O08545","Chain (1); Disulfide bond (2); Domain (1); Glycosylation (4); Lipidation (1); Propeptide (1); Sequence conflict (4); Signal (1)","4",TRUE
"93","O08581","O08581","Chain (1); Cross-link (1); Disulfide bond (1); Glycosylation (1); Intramembrane (4); Modified residue (1); Mutagenesis (3); Region (4); Sequence conflict (3); Site (3); Topological domain (7); Transmembrane (4)","1",TRUE
"94","O08602","O08602","Chain (1); Compositional bias (1); Disulfide bond (2); Glycosylation (5); Lipidation (1); Propeptide (1); Region (1); Signal (1)","5",TRUE
"95","O08603","O08603","Beta strand (8); Chain (1); Compositional bias (1); Disulfide bond (2); Glycosylation (5); Helix (3); Lipidation (1); Propeptide (1); Region (1); Signal (1); Turn (2)","5",TRUE
"96","O08604","O08604","Beta strand (7); Chain (1); Compositional bias (1); Disulfide bond (2); Glycosylation (5); Helix (5); Lipidation (1); Propeptide (1); Region (1); Signal (1); Turn (3)","5",TRUE
"97","O08644","O08644","Alternative sequence (4); Binding site (1); Chain (1); Domain (5); Glycosylation (1); Motif (1); Sequence conflict (3); Signal (1); Topological domain (2); Transmembrane (1)","1",TRUE
"98","O08650","O08650","Chain (1); Glycosylation (1); Mutagenesis (1); Sequence conflict (1); Topological domain (8); Transmembrane (7)","1",TRUE
"99","O08663","O08663","Binding site (9); Chain (1); Compositional bias (2); Glycosylation (1); Initiator methionine (1); Modified residue (2); Region (1)","1",TRUE
"100","O08665","O08665","Beta strand (40); Chain (1); Compositional bias (1); Disulfide bond (6); Domain (2); Glycosylation (3); Helix (9); Region (1); Sequence conflict (9); Signal (1); Turn (7)","3",TRUE
"101","O08675","O08675","Chain (1); Disulfide bond (1); Glycosylation (2); Helix (1); Propeptide (1); Sequence conflict (4); Signal (1); Site (1); Topological domain (8); Transmembrane (7)","2",TRUE
"102","O08677","O08677","Alternative sequence (3); Chain (3); Compositional bias (4); Disulfide bond (9); Domain (3); Glycosylation (4); Modified residue (1); Peptide (1); Region (3); Sequence conflict (1); Signal (1); Site (1)","4",TRUE
"103","O08689","O08689","Beta strand (8); Chain (1); Disulfide bond (5); Glycosylation (1); Helix (2); Mutagenesis (2); Propeptide (1); Signal (1); Site (1); Turn (1)","1",TRUE
"104","O08705","O08705","Alternative sequence (1); Chain (1); Compositional bias (1); Glycosylation (5); Modified residue (1); Region (1); Sequence conflict (1); Transmembrane (7)","5",TRUE
"105","O08707","O08707","Chain (1); Disulfide bond (1); Glycosylation (1); Region (1); Sequence conflict (1); Topological domain (8); Transmembrane (7)","1",TRUE
"106","O08710","O08710","Chain (1); Disulfide bond (59); Domain (11); Glycosylation (20); Modified residue (34); Mutagenesis (1); Natural variant (1); Region (2); Repeat (8); Sequence conflict (15); Signal (1)","20",TRUE
"107","O08712","O08712","Beta strand (12); Chain (1); Disulfide bond (9); Domain (2); Glycosylation (4); Natural variant (5); Repeat (4); Signal (1); Site (1)","4",TRUE
"108","O08742","O08742","Chain (1); Domain (2); Glycosylation (7); Repeat (14); Signal (1); Topological domain (2); Transmembrane (1)","7",TRUE
"109","O08746","O08746","Alternative sequence (1); Chain (1); Coiled coil (1); Disulfide bond (30); Domain (12); Glycosylation (2); Sequence conflict (1); Signal (1)","2",TRUE
"110","O08747","O08747","Alternative sequence (1); Chain (1); Disulfide bond (9); Domain (6); Glycosylation (2); Modified residue (2); Mutagenesis (1); Region (2); Sequence conflict (3); Signal (1); Site (1); Topological domain (2); Transmembrane (1)","2",TRUE
"111","O08762","O08762","Active site (3); Beta strand (7); Chain (1); Disulfide bond (17); Domain (5); Glycosylation (3); Helix (3); Region (2); Signal (1); Site (1)","3",TRUE
"112","O08786","O08786","Chain (1); Compositional bias (1); Disulfide bond (2); Glycosylation (3); Lipidation (1); Region (1); Sequence conflict (3); Topological domain (8); Transmembrane (7)","3",TRUE
"113","O08790","O08790","Chain (1); Disulfide bond (1); Glycosylation (2); Sequence conflict (9); Topological domain (8); Transmembrane (7)","2",TRUE
"114","O08795","O08795","Alternative sequence (1); Beta strand (7); Binding site (19); Chain (1); Compositional bias (1); Disulfide bond (8); Domain (5); Glycosylation (2); Helix (2); Modified residue (7); Motif (1); Region (2); Signal (1)","2",TRUE
"115","O08832","O08832","Binding site (7); Chain (1); Disulfide bond (5); Domain (1); Glycosylation (1); Region (2); Site (3); Topological domain (2); Transmembrane (1)","1",TRUE
"116","O08842","O08842","Alternative sequence (2); Chain (1); Compositional bias (1); Glycosylation (3); Lipidation (1); Propeptide (1); Region (1); Sequence conflict (4); Signal (1)","3",TRUE
"117","O08852","O08852","Chain (1); Coiled coil (1); Compositional bias (2); Disulfide bond (4); Domain (24); Glycosylation (63); Modified residue (1); Region (3); Repeat (2); Sequence conflict (13); Signal (1); Site (1); Topological domain (12); Transmembrane (11)","63",TRUE
"118","O08858","O08858","Chain (1); Compositional bias (1); Disulfide bond (1); Glycosylation (3); Lipidation (1); Region (2); Sequence conflict (4); Topological domain (8); Transmembrane (7)","3",TRUE
"119","O08859","O08859","Binding site (5); Chain (1); Compositional bias (1); Disulfide bond (4); Domain (2); Glycosylation (2); Region (1); Signal (1)","2",TRUE
"120","O08912","O08912","Beta strand (25); Binding site (8); Chain (2); Disulfide bond (5); Domain (1); Glycosylation (2); Helix (19); Mutagenesis (24); Region (2); Sequence conflict (1); Topological domain (2); Transmembrane (1); Turn (3)","2",TRUE
"121","O08966","O08966","Chain (1); Glycosylation (1); Modified residue (2); Motif (1); Mutagenesis (2); Sequence conflict (3); Topological domain (13); Transmembrane (12)","1",TRUE
"122","O09008","O09008","Active site (1); Beta strand (12); Binding site (4); Chain (1); Disulfide bond (3); Glycosylation (2); Helix (15); Topological domain (2); Transmembrane (1); Turn (4)","2",TRUE
"123","O09009","O09009","Active site (1); Binding site (4); Chain (1); Disulfide bond (3); Glycosylation (1); Topological domain (2); Transmembrane (1)","1",TRUE
"124","O09010","O09010","Active site (1); Binding site (4); Chain (1); Disulfide bond (3); Glycosylation (1); Region (1); Sequence conflict (2); Site (1); Topological domain (2); Transmembrane (1)","1",TRUE
"125","O09043","O09043","Active site (2); Chain (1); Disulfide bond (3); Domain (1); Glycosylation (4); Propeptide (1); Region (1); Signal (1)","4",TRUE
"126","O09046","O09046","Alternative sequence (1); Binding site (10); Chain (1); Disulfide bond (1); Glycosylation (3); Region (1); Sequence conflict (9); Signal (1)","3",TRUE
"127","O09047","O09047","Chain (1); Disulfide bond (1); Glycosylation (4); Modified residue (5); Sequence conflict (7); Topological domain (8); Transmembrane (7)","4",TRUE
"128","O09061","O09061","Beta strand (13); Chain (1); Glycosylation (2); Helix (4); Modified residue (6); Propeptide (1); Turn (1)","2",TRUE
"129","O09114","O09114","Active site (1); Alternative sequence (1); Beta strand (12); Chain (1); Disulfide bond (1); Glycosylation (2); Helix (4); Modified residue (1); Mutagenesis (4); Signal (1); Turn (3)","2",TRUE
"130","O09118","O09118","Beta strand (22); Chain (1); Disulfide bond (15); Domain (5); Glycosylation (4); Helix (6); Motif (1); Sequence conflict (3); Signal (1); Turn (8)","4",TRUE
"131","O09126","O09126","Chain (1); Compositional bias (3); Disulfide bond (8); Domain (3); Glycosylation (8); Modified residue (2); Region (2); Sequence conflict (3); Signal (1); Topological domain (2); Transmembrane (1)","8",TRUE
"132","O09127","O09127","Active site (1); Binding site (2); Chain (1); Domain (5); Glycosylation (3); Modified residue (2); Motif (1); Mutagenesis (4); Region (2); Sequence conflict (1); Signal (1); Topological domain (2); Transmembrane (1)","3",TRUE
"133","O09159","O09159","Active site (1); Binding site (4); Chain (1); Disulfide bond (4); Glycosylation (11); Sequence conflict (3); Signal (1)","11",TRUE
"134","O09160","O09160","Chain (1); Glycosylation (3); Sequence conflict (2); Topological domain (2); Transmembrane (1)","3",TRUE
"135","O09161","O09161","Chain (1); Compositional bias (1); Glycosylation (1); Modified residue (1); Mutagenesis (1); Region (1); Sequence conflict (3); Signal (1)","1",TRUE
"136","O09164","O09164","Binding site (8); Chain (1); Compositional bias (1); Disulfide bond (2); Glycosylation (1); Propeptide (1); Region (1); Signal (1)","1",TRUE
"137","O09165","O09165","Chain (1); Glycosylation (1); Modified residue (4); Region (1); Signal (1)","1",TRUE
"138","O35082","O35082","Alternative sequence (2); Chain (2); Glycosylation (6); Region (2); Sequence conflict (2); Signal (1); Topological domain (2); Transmembrane (1)","6",TRUE
"139","O35111","O35111","Chain (1); Glycosylation (1); Intramembrane (2); Sequence conflict (2); Topological domain (3); Transmembrane (4)","1",TRUE
"140","O35114","O35114","Chain (1); Disulfide bond (2); Glycosylation (11); Mutagenesis (22); Region (1); Topological domain (3); Transmembrane (2)","11",TRUE
"141","O35118","O35118","Chain (1); Glycosylation (3); Lipidation (1); Propeptide (1); Sequence conflict (4); Signal (1)","3",TRUE
"142","O35136","O35136","Alternative sequence (1); Chain (1); Compositional bias (1); Disulfide bond (5); Domain (7); Glycosylation (8); Lipidation (1); Modified residue (3); Region (1); Signal (1); Topological domain (2); Transmembrane (1)","8",TRUE
"143","O35161","O35161","Chain (1); Compositional bias (7); Disulfide bond (27); Domain (21); Glycosylation (23); Modified residue (6); Region (3); Sequence conflict (5); Signal (1); Topological domain (8); Transmembrane (7)","23",TRUE
"144","O35206","O35206","Beta strand (10); Chain (2); Compositional bias (5); Disulfide bond (2); Domain (5); Glycosylation (9); Helix (6); Region (21); Sequence conflict (9); Signal (1); Turn (1)","9",TRUE
"145","O35219","O35219","Alternative sequence (2); Binding site (1); Chain (1); Compositional bias (2); Domain (2); Glycosylation (1); Intramembrane (1); Modified residue (11); Motif (1); Natural variant (4); Region (3); Topological domain (8); Transmembrane (6)","1",TRUE
"146","O35235","O35235","Alternative sequence (2); Beta strand (12); Chain (2); Compositional bias (1); Glycosylation (2); Helix (3); Region (1); Sequence conflict (2); Site (1); Topological domain (2); Transmembrane (1); Turn (1)","2",TRUE
"147","O35245","O35245","Alternative sequence (6); Binding site (5); Chain (1); Coiled coil (1); Compositional bias (2); Disulfide bond (1); Domain (1); Glycosylation (5); Intramembrane (1); Modified residue (7); Motif (1); Mutagenesis (4); Region (6); Sequence conflict (8); Topological domain (8); Transmembrane (6)","5",TRUE
